n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.05,6,3,426.0
20|20|0.05,6,4,426.0
20|20|0.05,6,5,420.0
20|20|0.05,6,6,420.0
20|20|0.05,6,7,420.0
20|20|0.05,6,8,420.0
20|20|0.05,6,9,420.0
20|20|0.05,6,10,420.0
20|20|0.05,6,11,412.0
20|20|0.05,6,12,412.0
20|20|0.05,6,13,411.0
20|20|0.05,6,14,377.0
20|20|0.05,6,15,371.0
20|20|0.05,6,16,371.0
20|20|0.05,6,17,371.0
20|20|0.05,6,18,371.0
20|20|0.05,6,19,371.0
20|20|0.05,7,0,591.0
20|20|0.05,7,1,591.0
20|20|0.05,7,2,497.0
20|20|0.05,7,3,492.0
20|20|0.05,7,4,474.0
20|20|0.05,7,5,474.0
20|20|0.05,7,6,472.0
20|20|0.05,7,7,472.0
20|20|0.05,7,8,472.0
20|20|0.05,7,9,472.0
20|20|0.05,7,10,472.0
20|20|0.05,7,11,451.0
20|20|0.05,7,12,451.0
20|20|0.05,7,13,451.0
20|20|0.05,7,14,451.0
20|20|0.05,7,15,451.0
20|20|0.05,7,16,433.0
20|20|0.05,7,17,433.0
20|20|0.05,7,18,428.0
20|20|0.05,7,19,428.0
20|20|0.05,8,0,502.0
20|20|0.05,8,1,502.0
20|20|0.05,8,2,502.0
20|20|0.05,8,3,502.0
20|20|0.05,8,4,442.0
20|20|0.05,8,5,442.0
20|20|0.05,8,6,442.0
20|20|0.05,8,7,442.0
20|20|0.05,8,8,442.0
20|20|0.05,8,9,437.0
20|20|0.05,8,10,437.0
20|20|0.05,8,11,404.0
20|20|0.05,8,12,404.0
20|20|0.05,8,13,404.0
20|20|0.05,8,14,404.0
20|20|0.05,8,15,404.0
20|20|0.05,8,16,404.0
20|20|0.05,8,17,404.0
20|20|0.05,8,18,404.0
20|20|0.05,8,19,404.0
20|20|0.05,9,0,583.0
20|20|0.05,9,1,545.0
20|20|0.05,9,2,545.0
20|20|0.05,9,3,492.0
20|20|0.05,9,4,492.0
20|20|0.05,9,5,492.0
20|20|0.05,9,6,492.0
20|20|0.05,9,7,492.0
20|20|0.05,9,8,488.0
20|20|0.05,9,9,488.0
20|20|0.05,9,10,467.0
20|20|0.05,9,11,467.0
20|20|0.05,9,12,467.0
20|20|0.05,9,13,467.0
20|20|0.05,9,14,462.0
20|20|0.05,9,15,462.0
20|20|0.05,9,16,442.0
20|20|0.05,9,17,399.0
20|20|0.05,9,18,399.0
20|20|0.05,9,19,399.0
20|20|0.1,0,0,539.0
20|20|0.1,0,1,539.0
20|20|0.1,0,2,480.0
20|20|0.1,0,3,480.0
20|20|0.1,0,4,480.0
20|20|0.1,0,5,473.0
20|20|0.1,0,6,473.0
20|20|0.1,0,7,473.0
20|20|0.1,0,8,466.0
20|20|0.1,0,9,466.0
20|20|0.1,0,10,466.0
20|20|0.1,0,11,466.0
20|20|0.1,0,12,459.0
20|20|0.1,0,13,448.0
20|20|0.1,0,14,420.0
20|20|0.1,0,15,420.0
20|20|0.1,0,16,420.0
20|20|0.1,0,17,420.0
20|20|0.1,0,18,420.0
20|20|0.1,0,19,420.0
20|20|0.1,1,0,586.0
20|20|0.1,1,1,543.0
20|20|0.1,1,2,543.0
20|20|0.1,1,3,515.0
20|20|0.1,1,4,515.0
20|20|0.1,1,5,505.0
20|20|0.1,1,6,491.0
20|20|0.1,1,7,491.0
20|20|0.1,1,8,491.0
20|20|0.1,1,9,491.0
20|20|0.1,1,10,472.0
20|20|0.1,1,11,472.0
20|20|0.1,1,12,456.0
20|20|0.1,1,13,456.0
20|20|0.1,1,14,425.0
20|20|0.1,1,15,425.0
20|20|0.1,1,16,425.0
20|20|0.1,1,17,425.0
20|20|0.1,1,18,425.0
20|20|0.1,1,19,425.0
20|20|0.1,2,0,570.0
20|20|0.1,2,1,544.0
20|20|0.1,2,2,544.0
20|20|0.1,2,3,524.0
20|20|0.1,2,4,524.0
20|20|0.1,2,5,493.0
20|20|0.1,2,6,493.0
20|20|0.1,2,7,485.0
20|20|0.1,2,8,477.0
20|20|0.1,2,9,477.0
20|20|0.1,2,10,477.0
20|20|0.1,2,11,469.0
20|20|0.1,2,12,469.0
20|20|0.1,2,13,467.0
20|20|0.1,2,14,467.0
20|20|0.1,2,15,467.0
20|20|0.1,2,16,453.0
20|20|0.1,2,17,453.0
20|20|0.1,2,18,453.0
20|20|0.1,2,19,453.0
20|20|0.1,3,0,570.0
20|20|0.1,3,1,528.0
20|20|0.1,3,2,528.0
20|20|0.1,3,3,528.0
20|20|0.1,3,4,484.0
20|20|0.1,3,5,484.0
20|20|0.1,3,6,484.0
20|20|0.1,3,7,484.0
20|20|0.1,3,8,484.0
20|20|0.1,3,9,444.0
20|20|0.1,3,10,444.0
20|20|0.1,3,11,415.0
20|20|0.1,3,12,415.0
20|20|0.1,3,13,415.0
20|20|0.1,3,14,415.0
20|20|0.1,3,15,402.0
20|20|0.1,3,16,402.0
20|20|0.1,3,17,402.0
20|20|0.1,3,18,402.0
20|20|0.1,3,19,402.0
20|20|0.1,4,0,551.0
20|20|0.1,4,1,551.0
20|20|0.1,4,2,551.0
20|20|0.1,4,3,491.0
20|20|0.1,4,4,491.0
20|20|0.1,4,5,491.0
20|20|0.1,4,6,467.0
20|20|0.1,4,7,467.0
20|20|0.1,4,8,467.0
20|20|0.1,4,9,467.0
20|20|0.1,4,10,457.0
20|20|0.1,4,11,457.0
20|20|0.1,4,12,435.0
20|20|0.1,4,13,435.0
20|20|0.1,4,14,410.0
20|20|0.1,4,15,410.0
20|20|0.1,4,16,410.0
20|20|0.1,4,17,410.0
20|20|0.1,4,18,410.0
20|20|0.1,4,19,410.0
20|20|0.1,5,0,526.0
20|20|0.1,5,1,521.0
20|20|0.1,5,2,517.0
20|20|0.1,5,3,488.0
20|20|0.1,5,4,457.0
20|20|0.1,5,5,457.0
20|20|0.1,5,6,457.0
20|20|0.1,5,7,457.0
20|20|0.1,5,8,457.0
20|20|0.1,5,9,457.0
20|20|0.1,5,10,431.0
20|20|0.1,5,11,431.0
20|20|0.1,5,12,431.0
20|20|0.1,5,13,423.0
20|20|0.1,5,14,423.0
20|20|0.1,5,15,423.0
20|20|0.1,5,16,422.0
20|20|0.1,5,17,400.0
20|20|0.1,5,18,400.0
20|20|0.1,5,19,351.0
20|20|0.1,6,0,540.0
20|20|0.1,6,1,540.0
20|20|0.1,6,2,540.0
20|20|0.1,6,3,540.0
20|20|0.1,6,4,530.0
20|20|0.1,6,5,522.0
20|20|0.1,6,6,522.0
20|20|0.1,6,7,519.0
20|20|0.1,6,8,519.0
20|20|0.1,6,9,459.0
20|20|0.1,6,10,454.0
20|20|0.1,6,11,454.0
20|20|0.1,6,12,454.0
20|20|0.1,6,13,436.0
20|20|0.1,6,14,436.0
20|20|0.1,6,15,436.0
20|20|0.1,6,16,436.0
20|20|0.1,6,17,436.0
20|20|0.1,6,18,436.0
20|20|0.1,6,19,436.0
20|20|0.1,7,0,548.0
20|20|0.1,7,1,497.0
20|20|0.1,7,2,497.0
20|20|0.1,7,3,497.0
20|20|0.1,7,4,441.0
20|20|0.1,7,5,441.0
20|20|0.1,7,6,441.0
20|20|0.1,7,7,441.0
20|20|0.1,7,8,409.0
20|20|0.1,7,9,409.0
20|20|0.1,7,10,399.0
20|20|0.1,7,11,394.0
20|20|0.1,7,12,394.0
20|20|0.1,7,13,394.0
20|20|0.1,7,14,394.0
20|20|0.1,7,15,394.0
20|20|0.1,7,16,394.0
20|20|0.1,7,17,394.0
20|20|0.1,7,18,394.0
20|20|0.1,7,19,394.0
20|20|0.1,8,0,564.0
20|20|0.1,8,1,560.0
20|20|0.1,8,2,533.0
20|20|0.1,8,3,532.0
