n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.03,6,19,26993.0
20|20|0.03,7,0,26588.0
20|20|0.03,7,1,26588.0
20|20|0.03,7,2,26588.0
20|20|0.03,7,3,26588.0
20|20|0.03,7,4,26588.0
20|20|0.03,7,5,26588.0
20|20|0.03,7,6,26588.0
20|20|0.03,7,7,26588.0
20|20|0.03,7,8,26588.0
20|20|0.03,7,9,26588.0
20|20|0.03,7,10,26588.0
20|20|0.03,7,11,26588.0
20|20|0.03,7,12,26588.0
20|20|0.03,7,13,26588.0
20|20|0.03,7,14,26588.0
20|20|0.03,7,15,26588.0
20|20|0.03,7,16,26588.0
20|20|0.03,7,17,26588.0
20|20|0.03,7,18,26588.0
20|20|0.03,7,19,26588.0
20|20|0.03,8,0,27561.0
20|20|0.03,8,1,27561.0
20|20|0.03,8,2,27561.0
20|20|0.03,8,3,27561.0
20|20|0.03,8,4,27561.0
20|20|0.03,8,5,27561.0
20|20|0.03,8,6,27561.0
20|20|0.03,8,7,27561.0
20|20|0.03,8,8,27561.0
20|20|0.03,8,9,27561.0
20|20|0.03,8,10,27561.0
20|20|0.03,8,11,27561.0
20|20|0.03,8,12,27561.0
20|20|0.03,8,13,27561.0
20|20|0.03,8,14,27561.0
20|20|0.03,8,15,27561.0
20|20|0.03,8,16,27561.0
20|20|0.03,8,17,27561.0
20|20|0.03,8,18,27561.0
20|20|0.03,8,19,27561.0
20|20|0.03,9,0,27694.0
20|20|0.03,9,1,27694.0
20|20|0.03,9,2,27694.0
20|20|0.03,9,3,27694.0
20|20|0.03,9,4,27694.0
20|20|0.03,9,5,27694.0
20|20|0.03,9,6,27694.0
20|20|0.03,9,7,27694.0
20|20|0.03,9,8,27694.0
20|20|0.03,9,9,27694.0
20|20|0.03,9,10,27694.0
20|20|0.03,9,11,27694.0
20|20|0.03,9,12,27694.0
20|20|0.03,9,13,27694.0
20|20|0.03,9,14,27694.0
20|20|0.03,9,15,27694.0
20|20|0.03,9,16,27694.0
20|20|0.03,9,17,27694.0
20|20|0.03,9,18,27694.0
