n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.05,5,0,291.0
20|20|0.05,5,1,291.0
20|20|0.05,5,2,291.0
20|20|0.05,5,3,291.0
20|20|0.05,5,4,291.0
20|20|0.05,5,5,291.0
20|20|0.05,5,6,291.0
20|20|0.05,5,7,291.0
20|20|0.05,5,8,291.0
20|20|0.05,5,9,291.0
20|20|0.05,5,10,291.0
20|20|0.05,5,11,291.0
20|20|0.05,5,12,291.0
20|20|0.05,5,13,291.0
20|20|0.05,5,14,291.0
20|20|0.05,5,15,291.0
20|20|0.05,5,16,291.0
20|20|0.05,5,17,291.0
20|20|0.05,5,18,291.0
20|20|0.05,5,19,291.0
20|20|0.05,6,0,299.0
20|20|0.05,6,1,299.0
20|20|0.05,6,2,299.0
20|20|0.05,6,3,299.0
20|20|0.05,6,4,299.0
20|20|0.05,6,5,299.0
20|20|0.05,6,6,299.0
20|20|0.05,6,7,299.0
20|20|0.05,6,8,299.0
20|20|0.05,6,9,299.0
20|20|0.05,6,10,299.0
20|20|0.05,6,11,299.0
20|20|0.05,6,12,299.0
20|20|0.05,6,13,299.0
20|20|0.05,6,14,299.0
20|20|0.05,6,15,299.0
20|20|0.05,6,16,299.0
20|20|0.05,6,17,299.0
20|20|0.05,6,18,299.0
20|20|0.05,6,19,299.0
20|20|0.05,7,0,291.0
20|20|0.05,7,1,291.0
20|20|0.05,7,2,291.0
20|20|0.05,7,3,291.0
20|20|0.05,7,4,291.0
20|20|0.05,7,5,291.0
20|20|0.05,7,6,291.0
20|20|0.05,7,7,291.0
20|20|0.05,7,8,291.0
20|20|0.05,7,9,291.0
20|20|0.05,7,10,291.0
20|20|0.05,7,11,291.0
20|20|0.05,7,12,291.0
20|20|0.05,7,13,291.0
20|20|0.05,7,14,291.0
20|20|0.05,7,15,291.0
20|20|0.05,7,16,291.0
20|20|0.05,7,17,291.0
20|20|0.05,7,18,291.0
20|20|0.05,7,19,291.0
20|20|0.05,8,0,299.0
20|20|0.05,8,1,299.0
20|20|0.05,8,2,299.0
20|20|0.05,8,3,299.0
20|20|0.05,8,4,299.0
20|20|0.05,8,5,299.0
20|20|0.05,8,6,299.0
20|20|0.05,8,7,299.0
20|20|0.05,8,8,299.0
20|20|0.05,8,9,299.0
20|20|0.05,8,10,299.0
20|20|0.05,8,11,299.0
20|20|0.05,8,12,299.0
20|20|0.05,8,13,299.0
20|20|0.05,8,14,299.0
20|20|0.05,8,15,299.0
20|20|0.05,8,16,299.0
20|20|0.05,8,17,299.0
20|20|0.05,8,18,299.0
20|20|0.05,8,19,299.0
20|20|0.05,9,0,291.0
20|20|0.05,9,1,291.0
20|20|0.05,9,2,291.0
20|20|0.05,9,3,291.0
20|20|0.05,9,4,291.0
20|20|0.05,9,5,291.0
20|20|0.05,9,6,291.0
20|20|0.05,9,7,291.0
20|20|0.05,9,8,291.0
20|20|0.05,9,9,291.0
20|20|0.05,9,10,291.0
20|20|0.05,9,11,291.0
20|20|0.05,9,12,291.0
20|20|0.05,9,13,291.0
20|20|0.05,9,14,291.0
20|20|0.05,9,15,291.0
20|20|0.05,9,16,291.0
20|20|0.05,9,17,291.0
20|20|0.05,9,18,291.0
20|20|0.05,9,19,291.0
20|20|0.1,0,0,299.0
20|20|0.1,0,1,299.0
20|20|0.1,0,2,299.0
20|20|0.1,0,3,299.0
20|20|0.1,0,4,299.0
20|20|0.1,0,5,299.0
20|20|0.1,0,6,299.0
20|20|0.1,0,7,299.0
20|20|0.1,0,8,299.0
20|20|0.1,0,9,299.0
20|20|0.1,0,10,299.0
20|20|0.1,0,11,299.0
20|20|0.1,0,12,299.0
20|20|0.1,0,13,299.0
20|20|0.1,0,14,299.0
20|20|0.1,0,15,299.0
20|20|0.1,0,16,299.0
20|20|0.1,0,17,299.0
20|20|0.1,0,18,299.0
20|20|0.1,0,19,299.0
20|20|0.1,1,0,291.0
20|20|0.1,1,1,291.0
20|20|0.1,1,2,291.0
20|20|0.1,1,3,291.0
20|20|0.1,1,4,291.0
20|20|0.1,1,5,291.0
20|20|0.1,1,6,291.0
20|20|0.1,1,7,291.0
20|20|0.1,1,8,291.0
20|20|0.1,1,9,291.0
20|20|0.1,1,10,291.0
20|20|0.1,1,11,291.0
20|20|0.1,1,12,291.0
20|20|0.1,1,13,291.0
20|20|0.1,1,14,291.0
20|20|0.1,1,15,291.0
20|20|0.1,1,16,291.0
20|20|0.1,1,17,291.0
20|20|0.1,1,18,291.0
20|20|0.1,1,19,291.0
20|20|0.1,2,0,329.0
20|20|0.1,2,1,329.0
20|20|0.1,2,2,329.0
20|20|0.1,2,3,329.0
20|20|0.1,2,4,329.0
20|20|0.1,2,5,329.0
20|20|0.1,2,6,329.0
20|20|0.1,2,7,329.0
20|20|0.1,2,8,329.0
20|20|0.1,2,9,329.0
20|20|0.1,2,10,329.0
20|20|0.1,2,11,329.0
20|20|0.1,2,12,329.0
20|20|0.1,2,13,329.0
20|20|0.1,2,14,329.0
20|20|0.1,2,15,329.0
20|20|0.1,2,16,329.0
20|20|0.1,2,17,329.0
20|20|0.1,2,18,329.0
20|20|0.1,2,19,329.0
20|20|0.1,3,0,291.0
20|20|0.1,3,1,291.0
20|20|0.1,3,2,291.0
20|20|0.1,3,3,291.0
20|20|0.1,3,4,291.0
20|20|0.1,3,5,291.0
20|20|0.1,3,6,291.0
20|20|0.1,3,7,291.0
20|20|0.1,3,8,291.0
20|20|0.1,3,9,291.0
20|20|0.1,3,10,291.0
20|20|0.1,3,11,291.0
20|20|0.1,3,12,291.0
20|20|0.1,3,13,291.0
20|20|0.1,3,14,291.0
20|20|0.1,3,15,291.0
20|20|0.1,3,16,291.0
20|20|0.1,3,17,291.0
20|20|0.1,3,18,291.0
20|20|0.1,3,19,291.0
20|20|0.1,4,0,327.0
20|20|0.1,4,1,327.0
20|20|0.1,4,2,327.0
20|20|0.1,4,3,327.0
20|20|0.1,4,4,327.0
20|20|0.1,4,5,327.0
20|20|0.1,4,6,327.0
20|20|0.1,4,7,327.0
20|20|0.1,4,8,327.0
