n_gen|n_ind|mutate_rate,it,gen,best
20|20|0.03,7,9,481
20|20|0.03,7,10,477
20|20|0.03,7,11,477
20|20|0.03,7,12,466
20|20|0.03,7,13,466
20|20|0.03,7,14,466
20|20|0.03,7,15,466
20|20|0.03,7,16,458
20|20|0.03,7,17,452
20|20|0.03,7,18,452
20|20|0.03,7,19,422
20|20|0.03,8,0,590
20|20|0.03,8,1,558
20|20|0.03,8,2,558
20|20|0.03,8,3,523
20|20|0.03,8,4,523
20|20|0.03,8,5,523
20|20|0.03,8,6,523
20|20|0.03,8,7,523
20|20|0.03,8,8,523
20|20|0.03,8,9,523
20|20|0.03,8,10,523
20|20|0.03,8,11,523
20|20|0.03,8,12,517
20|20|0.03,8,13,513
20|20|0.03,8,14,513
20|20|0.03,8,15,503
20|20|0.03,8,16,496
20|20|0.03,8,17,496
20|20|0.03,8,18,496
20|20|0.03,8,19,493
20|20|0.03,9,0,518
20|20|0.03,9,1,518
20|20|0.03,9,2,518
20|20|0.03,9,3,518
20|20|0.03,9,4,518
20|20|0.03,9,5,518
20|20|0.03,9,6,518
20|20|0.03,9,7,440
20|20|0.03,9,8,430
20|20|0.03,9,9,430
20|20|0.03,9,10,430
20|20|0.03,9,11,430
20|20|0.03,9,12,430
20|20|0.03,9,13,430
20|20|0.03,9,14,430
20|20|0.03,9,15,428
20|20|0.03,9,16,428
20|20|0.03,9,17,428
20|20|0.03,9,18,428
20|20|0.03,9,19,428
20|20|0.04,0,0,598
20|20|0.04,0,1,539
20|20|0.04,0,2,520
20|20|0.04,0,3,489
20|20|0.04,0,4,489
20|20|0.04,0,5,489
20|20|0.04,0,6,489
20|20|0.04,0,7,421
20|20|0.04,0,8,421
20|20|0.04,0,9,421
20|20|0.04,0,10,421
20|20|0.04,0,11,421
20|20|0.04,0,12,421
20|20|0.04,0,13,421
20|20|0.04,0,14,421
20|20|0.04,0,15,421
20|20|0.04,0,16,421
20|20|0.04,0,17,421
20|20|0.04,0,18,421
20|20|0.04,0,19,421
20|20|0.04,1,0,593
20|20|0.04,1,1,544
20|20|0.04,1,2,544
20|20|0.04,1,3,538
20|20|0.04,1,4,538
20|20|0.04,1,5,514
20|20|0.04,1,6,514
20|20|0.04,1,7,512
20|20|0.04,1,8,494
20|20|0.04,1,9,494
20|20|0.04,1,10,468
20|20|0.04,1,11,468
20|20|0.04,1,12,441
20|20|0.04,1,13,441
20|20|0.04,1,14,441
20|20|0.04,1,15,431
20|20|0.04,1,16,423
20|20|0.04,1,17,423
20|20|0.04,1,18,421
20|20|0.04,1,19,421
20|20|0.04,2,0,580
20|20|0.04,2,1,571
20|20|0.04,2,2,563
20|20|0.04,2,3,548
20|20|0.04,2,4,536
20|20|0.04,2,5,523
20|20|0.04,2,6,523
20|20|0.04,2,7,523
20|20|0.04,2,8,449
20|20|0.04,2,9,449
20|20|0.04,2,10,449
20|20|0.04,2,11,449
20|20|0.04,2,12,448
20|20|0.04,2,13,376
20|20|0.04,2,14,376
20|20|0.04,2,15,376
20|20|0.04,2,16,376
20|20|0.04,2,17,376
20|20|0.04,2,18,376
20|20|0.04,2,19,376
20|20|0.04,3,0,620
20|20|0.04,3,1,600
20|20|0.04,3,2,532
20|20|0.04,3,3,532
20|20|0.04,3,4,517
20|20|0.04,3,5,517
20|20|0.04,3,6,510
20|20|0.04,3,7,510
20|20|0.04,3,8,482
20|20|0.04,3,9,444
20|20|0.04,3,10,434
20|20|0.04,3,11,434
20|20|0.04,3,12,396
20|20|0.04,3,13,396
20|20|0.04,3,14,396
20|20|0.04,3,15,396
20|20|0.04,3,16,396
20|20|0.04,3,17,396
20|20|0.04,3,18,391
20|20|0.04,3,19,391
20|20|0.04,4,0,569
20|20|0.04,4,1,546
20|20|0.04,4,2,528
20|20|0.04,4,3,528
20|20|0.04,4,4,510
20|20|0.04,4,5,510
20|20|0.04,4,6,510
20|20|0.04,4,7,510
20|20|0.04,4,8,510
20|20|0.04,4,9,494
20|20|0.04,4,10,436
20|20|0.04,4,11,436
20|20|0.04,4,12,436
20|20|0.04,4,13,436
20|20|0.04,4,14,429
20|20|0.04,4,15,429
20|20|0.04,4,16,429
20|20|0.04,4,17,429
20|20|0.04,4,18,429
20|20|0.04,4,19,429
20|20|0.04,5,0,564
20|20|0.04,5,1,549
20|20|0.04,5,2,549
20|20|0.04,5,3,549
20|20|0.04,5,4,510
20|20|0.04,5,5,476
20|20|0.04,5,6,476
20|20|0.04,5,7,473
20|20|0.04,5,8,473
20|20|0.04,5,9,450
20|20|0.04,5,10,423
20|20|0.04,5,11,423
20|20|0.04,5,12,421
20|20|0.04,5,13,421
20|20|0.04,5,14,421
20|20|0.04,5,15,421
20|20|0.04,5,16,421
20|20|0.04,5,17,421
20|20|0.04,5,18,421
20|20|0.04,5,19,421
20|20|0.04,6,0,560
20|20|0.04,6,1,560
20|20|0.04,6,2,526
20|20|0.04,6,3,519
20|20|0.04,6,4,510
20|20|0.04,6,5,506
20|20|0.04,6,6,488
20|20|0.04,6,7,479
20|20|0.04,6,8,433
20|20|0.04,6,9,433
20|20|0.04,6,10,433
20|20|0.04,6,11,431
